,ZIP_CODE,NAMELSAD
0,14,"Tucson-Nogales, AZ CSA"
1,15,"Tucson-Nogales, AZ CSA"
2,17,"Fresno-Madera, CA CSA"
3,18,"Los Angeles-Long Beach, CA CSA"
4,19,"Reno-Carson City-Fernley, NV CSA"
5,20,"Fresno-Madera, CA CSA"
6,26,"Visalia-Porterville-Hanford, CA CSA"
7,26,"Fresno-Madera, CA CSA"
8,29,"Sacramento-Roseville, CA CSA"
9,32,"Los Angeles-Long Beach, CA CSA"
10,33,"Sacramento-Roseville, CA CSA"
11,34,"Medford-Grants Pass, OR CSA"
12,35,"Redding-Red Bluff, CA CSA"
13,37,"Redding-Red Bluff, CA CSA"
14,38,"Redding-Red Bluff, CA CSA"
15,39,"Redding-Red Bluff, CA CSA"
16,41,"Cape Coral-Fort Myers-Naples, FL CSA"
17,41,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA"
18,42,"Orlando-Deltona-Daytona Beach, FL CSA"
19,42,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA"
20,43,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA"
21,45,"Orlando-Deltona-Daytona Beach, FL CSA"
22,47,"Redding-Red Bluff, CA CSA"
23,51,"Sacramento-Roseville, CA CSA"
24,52,"Sacramento-Roseville, CA CSA"
25,53,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA"
26,56,"Boise City-Mountain Home-Ontario, ID-OR CSA"
27,57,"Los Angeles-Long Beach, CA CSA"
28,58,"Fresno-Madera, CA CSA"
29,61,"Los Angeles-Long Beach, CA CSA"
30,64,"Albuquerque-Santa Fe-Las Vegas, NM CSA"
31,65,"Sacramento-Roseville, CA CSA"
32,66,"El Paso-Las Cruces, TX-NM CSA"
33,69,"Bend-Redmond-Prineville, OR CSA"
34,70,"Portland-Vancouver-Salem, OR-WA CSA"
35,71,"Salt Lake City-Provo-Orem, UT CSA"
36,72,"Seattle-Tacoma, WA CSA"
37,73,"Moses Lake-Othello, WA CSA"
38,74,"Seattle-Tacoma, WA CSA"
39,74,"Portland-Vancouver-Salem, OR-WA CSA"
40,76,"Seattle-Tacoma, WA CSA"
41,77,"Portland-Vancouver-Salem, OR-WA CSA"
42,84,"New Bern-Morehead City, NC CSA"
43,87,"Orlando-Deltona-Daytona Beach, FL CSA"
44,87,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA"
45,97,"Cape Coral-Fort Myers-Naples, FL CSA"
46,97,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA"
47,98,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA"
48,100,"Salt Lake City-Provo-Orem, UT CSA"
49,116,"Lafayette-Opelousas-Morgan City, LA CSA"
50,121,"New Orleans-Metairie-Hammond, LA-MS CSA"
51,158,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
52,188,"Brownsville-Harlingen-Raymondville, TX CSA"
53,188,"Corpus Christi-Kingsville-Alice, TX CSA"
54,197,"Tucson-Nogales, AZ CSA"
55,601,"Ponce-Coamo-Santa Isabel, PR CSA"
56,606,"Mayagüez-San Germán, PR CSA"
57,606,"Ponce-Coamo-Santa Isabel, PR CSA"
58,610,"Mayagüez-San Germán, PR CSA"
59,612,"San Juan-Carolina, PR CSA"
60,617,"San Juan-Carolina, PR CSA"
61,623,"Mayagüez-San Germán, PR CSA"
62,624,"Ponce-Coamo-Santa Isabel, PR CSA"
63,627,"San Juan-Carolina, PR CSA"
64,631,"Ponce-Coamo-Santa Isabel, PR CSA"
65,637,"Mayagüez-San Germán, PR CSA"
66,637,"Ponce-Coamo-Santa Isabel, PR CSA"
67,638,"San Juan-Carolina, PR CSA"
68,641,"Ponce-Coamo-Santa Isabel, PR CSA"
69,641,"San Juan-Carolina, PR CSA"
70,646,"San Juan-Carolina, PR CSA"
71,647,"Mayagüez-San Germán, PR CSA"
72,647,"Ponce-Coamo-Santa Isabel, PR CSA"
73,650,"San Juan-Carolina, PR CSA"
